rel_path,file_name,ext,size_bytes,status,searchable,programmatic,text_extractable,is_structured,page_or_sheet_count,attachment_count,estimated_entities,estimate_truncated,bde_person_count,bde_confirmed,entity_bucket,entities_found,value_signal,pi_categories,is_bde,complexity_bucket,ambiguity,llm_consulted,llm_responsive,llm_tokens,suggested_lane,detail,ocr_attempted,ocr,ocr_pages,img_ocr_qualifying,img_ocr_calls,img_ocr_ok,img_decode_failed,di_calls,elapsed_s,nr_stage1,bde_stage1,s2_ran,s2_skip_reason,s2_llm_consulted,s2_llm_responsiveness,s2_llm_responsive,s2_llm_tokens,s2_is_bde,s2_lane,s2_nr,s2_detail,llm_tokens_total
STS_2k_new/files/Q00873.01-0000185813.XLSX,Q00873.01-0000185813.XLSX,.xlsx,40505,ok,True,True,text,True,3,0,120,False,120,True,100+,Name | Phone | Payment Card | Money/Amount | Work-Related,True,Contact Information | Financial Account Information | Work-Related Information,True,,ambiguous,True,yes,7850,structured_bde,roster_by_rowcount bde_llm_count_roster,False,False,0,0,0,0,0,0,5.229,False,True,True,,True,clear_yes,yes,4532,True,structured_bde,False,,12382
STS_2k_new/files/Q00873.01-0000508207.CSV,Q00873.01-0000508207.CSV,.csv,483594,ok,True,True,text,True,0,0,664,False,664,True,100+,Name | Address | Email | Phone | SSN | Demographic | Work-Related,True,Contact Information | Government-Issued Identification | Demographic Information | Work-Related Information,True,,clear_responsive,False,,8969,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,4.141,False,True,True,,True,clear_yes,yes,10235,True,structured_bde,False,,19204
STS_2k_new/files/Q00873.01-0000185921.XLSX,Q00873.01-0000185921.XLSX,.xlsx,41844,ok,True,True,text,True,3,0,123,False,123,True,100+,Name | Phone | Payment Card | Money/Amount | Work-Related,True,Contact Information | Financial Account Information | Work-Related Information,True,,ambiguous,True,yes,7571,structured_bde,roster_by_rowcount bde_llm_count_roster,False,False,0,0,0,0,0,0,3.834,False,True,True,,True,clear_yes,yes,4392,True,structured_bde,False,,11963
STS_2k_new/files/Q00873.01-0000439128.csv,Q00873.01-0000439128.csv,.csv,412133,ok,True,True,text,True,0,0,614,False,614,True,100+,Name | Address | Email | Phone | SSN | Demographic | Work-Related,True,Contact Information | Government-Issued Identification | Demographic Information | Work-Related Information,True,,clear_responsive,False,,9009,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,3.333,False,True,True,,True,clear_yes,yes,10271,True,structured_bde,False,,19280
STS_2k_new/files/Q00873.01-0000401783.csv,Q00873.01-0000401783.csv,.csv,64457,ok,True,True,text,True,0,0,88,False,88,True,50-100,Address | Email | Phone | SSN | Payment Card | Demographic | Work-Related,True,Contact Information | Government-Issued Identification | Financial Account Information | Demographic Information | Work-Related Information,True,,clear_responsive,False,,9062,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,3.638,False,True,True,,True,clear_yes,yes,10281,True,structured_bde,False,,19343
STS_2k_new/files/Q00873.01-0000428017.csv,Q00873.01-0000428017.csv,.csv,462832,ok,True,True,text,True,0,0,680,False,680,True,100+,Name | Address | Email | Phone | SSN | Demographic | Work-Related,True,Contact Information | Government-Issued Identification | Demographic Information | Work-Related Information,True,,clear_responsive,False,,8857,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,3.788,False,True,True,,True,clear_yes,yes,10100,True,structured_bde,False,,18957
STS_2k_new/files/Q00873.01-0000516274.CSV,Q00873.01-0000516274.CSV,.csv,96967,ok,True,True,text,True,0,0,125,False,125,True,100+,Name | Address | Email | Phone | SSN | Demographic | Work-Related,True,Contact Information | Government-Issued Identification | Demographic Information | Work-Related Information,True,,clear_responsive,False,,8776,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,3.416,False,True,True,,True,clear_yes,yes,9997,True,structured_bde,False,,18773
STS_2k_new\files\Q00873.01-0000257456.XLS,Q00873.01-0000257456.XLS,.xls,27245,ok,True,True,text,True,1,0,119,False,19,True,100+,Name | Address | Money/Amount | Work-Related,True,Contact Information | Financial Account Information | Work-Related Information,True,,ambiguous,True,yes,7267,structured_bde,roster_by_rowcount bde_llm_count_roster,False,False,0,0,0,0,0,0,5.376,False,True,True,,True,clear_yes,yes,4259,True,structured_bde,False,,11526
STS_2k_new/files/Q00873.01-0000495870.CSV,Q00873.01-0000495870.CSV,.csv,440072,ok,True,True,text,True,0,0,493,False,493,True,100+,Name | Address | Email | Phone | Demographic | Work-Related,True,Contact Information | Demographic Information | Work-Related Information,True,,ambiguous,True,yes,18769,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,67.108,False,True,True,,True,clear_yes,yes,10105,True,structured_bde,False,,28874
STS_2k_new/files/Q00873.01-0000351754.CSV,Q00873.01-0000351754.CSV,.csv,345767,ok,True,True,text,True,0,0,497,False,497,True,100+,Address | Email | Phone | SSN | Demographic | Work-Related,True,Contact Information | Government-Issued Identification | Demographic Information | Work-Related Information,True,,clear_responsive,False,,9091,structured_bde,bde_llm_count_roster,False,False,0,0,0,0,0,0,3.598,False,True,True,,True,clear_yes,yes,10349,True,structured_bde,False,,19440
